Giai Đoạn	Phân Hệ (Module)	Tên Task Chi Tiết	File / Component / Endpoint liên quan
P7. MO App	Setup & Base	Khởi tạo Project Android (MVVM), Setup Retrofit & Gson, Base API Client	ApiClient.java, build.gradle, AuthInterceptor.java
P7. MO App	Auth (R)	Dựng UI Màn hình Hướng dẫn (Splash) và Đăng nhập. Ghép API Auth, lưu Token.	LoginActivity.java, POST /auth/login
P7. MO App	Core UI	Dựng khung Main Activity với Bottom Navigation (Home, Bills, Facilities, Profile)	MainActivity.java, activity_main.xml, menu_bottom_nav.xml
P7. MO App	Home & News	Tab Home: Layout Thẻ cư dân, Danh sách Tin tức. Đọc API Announcements (Read)	HomeFragment.java, GET /announcements/active
P7. MO App	Facilities UI	Tab Tiện ích: Layout danh sách tiện ích. Đọc API Facilities (Read)	FacilitiesFragment.java, GET /facilities
P7. MO App	Booking API	Màn hình Form Đặt lịch, gọi API Create Booking. Tab Lịch sử đặt: Hủy lịch (Delete)	BookingActivity.java, POST /bookings, DELETE /bookings/:id
P7. MO App	Profile & Maint	Tab Cá nhân. Form tạo Yêu cầu Sửa chữa (Maintenance - Create/Read)	ProfileFragment.java, POST /maintenance-requests
P7. MO App	Bills List	Tab Hóa đơn: Tách tab Chưa/Đã thanh toán. Gọi API danh sách Bills (Read)	BillsFragment.java, GET /bills/my-bills
P7. MO App	Bills Detail	Màn hình Chi tiết hóa đơn: Liệt kê các item (điện, nước, quản lý). Tổng tiền	BillDetailActivity.java, GET /bills/:id
P8. Payment	PayOS GenURL	Nút Thanh toán: Gọi API gen link PayOS, Xử lý mở ChromeCustomTabs / WebView	WebViewActivity.java, POST /payment/create-url
P8. Payment	DeepLink IPN	Bắt DeepLink trả về lúc thanh toán xong, Refresh lại data hóa đơn về "Đã thanh toán"	DeepLinkHandler, AndroidManifest.xml
